Heit(km)	Oden(m-3)	O2den(m-3)	Nden(m-3)	N2den(m-3)	Air(m-3)	T(eV)	Q_O(s-1)	Q_O2(s-1)	Q_N(s-1)	Q_N2(s-1)
0.0	0.0	5.499e+24	0.0	2.05e+25	1.261	0.024503625000000005	0.0	4.35865551119908e+28	0.0	1.624885215122407e+29
10.0	0.0	1.804e+24	0.0	6.723e+24	0.4137	0.01937175	0.0	1.4287779393593674e+28	0.0	5.3246530411934735e+28
20.0	0.0	3.954e+23	0.0	1.474e+24	0.09068000000000001	0.018742125000000002	0.0	3.1291384423750403e+27	0.0	1.166502292377544e+28
30.0	0.0	8.187e+22	0.0	3.052e+23	0.018779999999999998	0.01913025	0.0	6.474009696688174e+26	0.0	2.413420983790437e+27
40.0	0.0	1.721e+22	0.0	6.415e+22	0.003947	0.021286500000000003	0.0	1.3598480966144103e+26	0.0	5.0688120510060676e+26
50.0	0.0	4.404e+21	0.0	1.642e+22	0.00101	0.022304250000000005	0.0	3.4771092666662706e+25	0.0	1.2964153986980053e+26
60.0	0.0	1.236e+21	0.0	4.606e+21	0.0002834	0.020846625	0.0	9.751053212644881e+24	0.0	3.633766270019605e+25
70.0	0.0	3.119e+20	0.0	1.187e+21	7.268e-05	0.018957750000000002	0.0	2.4587308093520817e+24	0.0	9.357208947421997e+24
80.0	2269000000000000.0	6.683e+19	53390000000.0	2.619e+20	1.593e-05	0.01761225	1.7872824081581588e+19	5.264172910410302e+23	420550937732763.8	2.0629760365651027e+24
90.0	1.877e+17	1.255e+19	113300000000.0	5.225e+19	3.1409999999999997e-06	0.016810125000000002	1.4773607470012818e+21	9.87793147302402e+22	891768634178184.5	4.11252525470522e+23
100.0	3.699e+17	1.981e+18	228100000000.0	9.475e+18	5.618e-07	0.016258125000000002	2.909180937169979e+21	1.5580122834641063e+22	1793955587370836.0	7.451876015054219e+22
110.0	1.673e+17	2.485e+17	430500000000.0	1.539e+18	8.991e-08	0.021597	1.314761505974598e+21	1.952888429376495e+21	3383172912863505.0	1.2094548462013784e+22
120.0	6.715e+16	4.23e+16	917800000000.0	3.548e+17	2.063e-08	0.03299925000000001	5.2730539016705455e+20	3.3216705888408646e+20	7207161386378595.0	2.7861199170703044e+21
130.0	3.422e+16	1.17e+16	2093000000000.0	1.293e+17	7.566000000000001e-09	0.044617125	2.6851086833181947e+20	9.180529396499964e+19	1.6422947031516602e+16	1.014566197408073e+21
140.0	2.093e+16	4485000000000000.0	4339000000000.0	6.169e+16	3.6719999999999997e-09	0.05356987500000001	1.6410328553255918e+20	3.5164989756976964e+19	3.4020265452736468e+16	4.8368522142874226e+20
150.0	1.414e+16	2095000000000000.0	7515000000000.0	3.386e+16	2.0650000000000002e-09	0.06056475000000001	1.1078071242503712e+20	1.641340824119185e+19	5.887673648332064e+16	2.652782830772105e+20
160.0	1.016e+16	1111000000000000.0	10850000000000.0	2.022e+16	1.2709999999999999e-09	0.06602437500000001	7.953818187966593e+19	8.697531502786304e+18	8.493988911361962e+16	1.58293507638469e+20
170.0	7608000000000000.0	639800000000000.0	13420000000000.0	1.277e+16	8.31e-10	0.07029375	5.951414132160277e+19	5.004882704726794e+18	1.049789401335317e+17	9.98942671762444e+19
180.0	5861000000000000.0	388900000000000.0	14690000000000.0	8376000000000000.0	5.667e-10	0.07364025	4.581309300535773e+19	3.039875766897052e+18	1.148258550159879e+17	6.547184217929984e+19
190.0	4608000000000000.0	245400000000000.0	14700000000000.0	5649000000000000.0	3.9879999999999996e-10	0.076253625	3.599142922364956e+19	1.916731061519879e+18	1.148164083306529e+17	4.412230548706519e+19
200.0	3678000000000000.0	159000000000000.0	13800000000000.0	3888000000000000.0	2.874e-10	0.07830637500000001	2.8705663018210685e+19	1.240946280558863e+18	1.0770477152020322e+17	3.0344648671778992e+19
210.0	2969000000000000.0	105000000000000.0	12420000000000.0	2717000000000000.0	2.112e-10	0.07991925000000001	2.315452056344066e+19	8.188698750964195e+17	9.686060808283362e+16	2.1189232863209255e+19
